abide   v.遵守
venus   n.金星
verge   n.边缘，界限
verse   n.诗，韵文
video   adj.电视的，视频的
vigor   n.活动，精力，元气
villa   n.别墅
virus   n.病毒
visit   v.,n.访问，参观
vital   adj.必不可少的
vivid   adj.鲜艳的
vogue   n.时尚，时髦
voice   n.声音，嗓音；v.吐露
voter   n.投票人，选举人
vouch   v.担保
vowed v.,n.许愿，发誓
vowel   n.元音
wagon   n.货车
waist   n.腰(部)
waive   v.放弃(要求、权利)
waken   v.唤醒，使觉醒
wanna   想要
waste   v.浪费；n.垃圾，废料
watch   v.观看，看过；n.手表
water   n.水；v.浇水，垂涎
waver   n.晃动，动摇
weary   adj.疲倦的
weave   v.编织
wedge   n.楔子，起因；v.楔住
weigh   v.重...，称，权衡
whale   n.鲸
wharf   n.码头，停泊处
wheat   n.小麦
wheel   n.轮，车轮
where   adv.哪里
which   pron.,adj.哪个，那个
while   n.一会儿；conj.当..时
whirl   v.,n.旋转，飞转
white   adj.白的；n.白色,蛋清
whole   adj.全部的；n.全部
whose   pron.谁的
widen   v.加宽，扩大
widow   n.寡妇
width   n.宽度
wield   v.挥动，行使
windy   adj.刮风的
witty   adj.机智的，风趣的
woman   n.妇女，女人
wordy   adj.冗长的，罗嗦的
world   n.世界，...界，世间
worry   v.,v.烦恼，担心
worse   adj.更坏的，更差的
worst   adj.最坏的，最差的
worth   n.价值；adj.值...的
would   modal.将要
wound   v.受伤；n.伤口，创伤
wrath   n.暴怒
wreck   v.毁坏；n.失事
wring   v.拧，扭
wrist   n.腕
write   v.写，写信，写作
wrong   adj.错误的，有毛病的
xerox   n.,v.复印
x-ray   n.X射线；v.X光检查
yacht   n.游船，快艇
yearn   v.向往
yeast   n.酵母
yield   v.生产，屈服；n.产量
young   adj.年轻的；n.青年人
youth   n.青春，青年
zebra   n.斑马
